año,eleccion_tipo,padron_tipo,distrito_nombre,cargo_nombre,agrupacion_nombre,votos_cantidad,fuerza
2011,PASO,NORMAL,Córdoba,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,206677,UCR
2011,PASO,NORMAL,Córdoba,Presidente,ALIANZA FRENTE AMPLIO PROGRESISTA,165031,SOCIALISTA
2011,PASO,NORMAL,Entre Ríos,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,67464,PERON
2011,PASO,NORMAL,Entre Ríos,Diputado Nacional,ALIANZA FRENTE POPULAR,18659,OTROS
2011,PASO,NORMAL,Entre Ríos,Diputado Nacional,UNION CIVICA RADICAL,28788,UCR
2011,PASO,NORMAL,Entre Ríos,Presidente,ALIANZA FRENTE PARA LA VICTORIA,78700,PERON
2011,PASO,NORMAL,Entre Ríos,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,31888,UCR
2011,PASO,NORMAL,Entre Ríos,Presidente,ALIANZA FRENTE AMPLIO PROGRESISTA,26191,SOCIALISTA
2011,PASO,NORMAL,Formosa,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,51767,PERON
2011,PASO,NORMAL,Formosa,Diputado Nacional,UNION CIVICA RADICAL,14042,UCR
2011,PASO,NORMAL,Formosa,Diputado Nacional,FORTALEZA,1808,OTROS
2011,PASO,NORMAL,Formosa,Presidente,ALIANZA FRENTE PARA LA VICTORIA,51619,PERON
2011,PASO,NORMAL,Formosa,Presidente,ALIANZA FRENTE POPULAR,5059,OTROS
2011,PASO,NORMAL,Formosa,Presidente,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,11478,UCR
2011,PASO,NORMAL,Jujuy,Diputado Nacional,ALIANZA FRENTE PARA LA VICTORIA,49553,PERON
2011,PASO,NORMAL,Jujuy,Diputado Nacional,FRENTE AMPLIO PROGRESISTA,4695,OTROS
